date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:29	1099/1099	---M--	200	added ('OK')	image/png	etag:W/%222f6d640f93cc3e9cd6dcbb43dc7908f4%22	https://www.infobae.com/pf/resources/favicon/apple-touch-icon-120x120-precomposed.png?d=3426	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/pf/resources/favicon/apple-touch-icon-120x120-precomposed1c7a.png	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:29	144857/144857	---M-Z	200	added ('OK')	text/html	etag:W/%22235d9-NJPoUcXvz2b6p91a1i/NTUn/QuU%22	https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/?outputType=amp-type	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/index3c1a.html	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:30	1362/1362	---M--	200	added ('OK')	image/png	etag:W/%222883c42fb658752f5770d0ebfd123c97%22	https://www.infobae.com/pf/resources/favicon/apple-touch-icon-152x152.png?d=3426	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/pf/resources/favicon/apple-touch-icon-152x1521c7a.png	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:30	1362/1362	---M--	200	added ('OK')	image/png	etag:W/%222883c42fb658752f5770d0ebfd123c97%22	https://www.infobae.com/pf/resources/favicon/apple-touch-icon-152x152-precomposed.png?d=3426	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/pf/resources/favicon/apple-touch-icon-152x152-precomposed1c7a.png	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:30	1582/1582	---M--	200	added ('OK')	image/png	etag:W/%22e7e639ccda349311606269c2b47dbb17%22	https://www.infobae.com/pf/resources/favicon/android-chrome-192x192.png?d=3426	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/pf/resources/favicon/android-chrome-192x1921c7a.png	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:30	3408/3408	---M--	200	added ('OK')	image/png	etag:W/%224ba59b4827e4d1d7633b11c04070ff3f%22	https://www.infobae.com/pf/resources/favicon/android-chrome-512x512.png?d=3426	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/pf/resources/favicon/android-chrome-512x5121c7a.png	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:31	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Aug%202025%2002:06:23%20GMT	https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/ak.m	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/ak.m	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:32	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Aug%202025%2002:06:24%20GMT	https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/ak.t	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/ak.t	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:32	24237/24237	---M--	200	added ('OK')	image/jpeg	etag:%22efea4f2d50602dc856afb6acbd25d111%22	https://www.infobae.com/resizer/v2/YVYK6A3SV5DVDMG6TLGGKPEUKU.jpg?auth=5bedde9250a112807117e599b5fa53f000bc0219087ae63f80c8f164fef6e918&smart=true&width=350&height=195&quality=85	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/resizer/v2/YVYK6A3SV5DVDMG6TLGGKPEUKU99e8.jpg	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:34	30206/30206	---M--	200	added ('OK')	image/jpeg	etag:%2277850aeea02b423bd16339e267479136%22	https://www.infobae.com/resizer/v2/5LEFSGUDBFFINNJ66G4ABRON6M.jpg?auth=a94d03e0540cbbbbd40a1aaa5d0b9011931495c1044902681599376b1fc076f2&smart=true&width=350&height=442&quality=85	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/resizer/v2/5LEFSGUDBFFINNJ66G4ABRON6M0463.jpg	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
